"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","166","Gomes Cardim","3/1/2020 - 3/31/2020, Every day, Daily Average",1394,918,2115
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","167","Tatuapé","3/1/2020 - 3/31/2020, Every day, Daily Average",1236,780,1957
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","168","Chácara do Piqueri","3/1/2020 - 3/31/2020, Every day, Daily Average",877,520,1479
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","169","Parque São Jorge","3/1/2020 - 3/31/2020, Every day, Daily Average",1002,611,1640
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","170","Penha","3/1/2020 - 3/31/2020, Every day, Daily Average",1116,693,1796
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","171","Tiquatira","3/1/2020 - 3/31/2020, Every day, Daily Average",1408,915,2166
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","172","Vila Esperança","3/1/2020 - 3/31/2020, Every day, Daily Average",1622,1045,2515
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","173","Vila Ré","3/1/2020 - 3/31/2020, Every day, Daily Average",1971,1387,2799
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","174","Rui Barbosa","3/1/2020 - 3/31/2020, Every day, Daily Average",1809,1241,2635
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","175","Estação Eng. Goulart","3/1/2020 - 3/31/2020, Every day, Daily Average",1611,1082,2397
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","176","Cangaíba","3/1/2020 - 3/31/2020, Every day, Daily Average",1358,901,2046
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","177","Parque Ecológico do Tietê","3/1/2020 - 3/31/2020, Every day, Daily Average",1324,851,2059
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","178","USP Leste I","3/1/2020 - 3/31/2020, Every day, Daily Average",1484,944,2331
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","179","USP Leste II","3/1/2020 - 3/31/2020, Every day, Daily Average",1475,1014,2144
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","180","Ermelino Matarazzo","3/1/2020 - 3/31/2020, Every day, Daily Average",1482,995,2206
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","181","Parque Buturussu","3/1/2020 - 3/31/2020, Every day, Daily Average",2088,1367,3188
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","182","Ponte Rasa","3/1/2020 - 3/31/2020, Every day, Daily Average",1815,1268,2597
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","183","Burgo Paulista","3/1/2020 - 3/31/2020, Every day, Daily Average",2226,1597,3101
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","184","Limoeiro","3/1/2020 - 3/31/2020, Every day, Daily Average",2610,1641,4150
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","185","Laranja da China","3/1/2020 - 3/31/2020, Every day, Daily Average",2164,1469,3186
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","186","Pedro José Nunes","3/1/2020 - 3/31/2020, Every day, Daily Average",2061,1408,3015
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","187","Parque Cruzeiro do Sul","3/1/2020 - 3/31/2020, Every day, Daily Average",2033,1362,3034
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","188","Vila Jacuí","3/1/2020 - 3/31/2020, Every day, Daily Average",1903,1284,2819
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","189","Parada XV","3/1/2020 - 3/31/2020, Every day, Daily Average",2466,1722,3530
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","190","Itaquera","3/1/2020 - 3/31/2020, Every day, Daily Average",2524,1759,3620
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","191","Arena Corinthians","3/1/2020 - 3/31/2020, Every day, Daily Average",2453,1714,3510
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","192","Vila Campanela","3/1/2020 - 3/31/2020, Every day, Daily Average",2487,1752,3530
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","194","Parque Guarani","3/1/2020 - 3/31/2020, Every day, Daily Average",2282,1554,3350
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","195","Rio Verde","3/1/2020 - 3/31/2020, Every day, Daily Average",2532,1663,3853
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","196","Saudade","3/1/2020 - 3/31/2020, Every day, Daily Average",2646,1855,3772
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","197","São Miguel Paulista","3/1/2020 - 3/31/2020, Every day, Daily Average",1822,1233,2691
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","198","Cidade Nitro-Operária","3/1/2020 - 3/31/2020, Every day, Daily Average",2335,1666,3271
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","199","Jardim Helena","3/1/2020 - 3/31/2020, Every day, Daily Average",2167,1458,3220
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","200","Jardim Romano","3/1/2020 - 3/31/2020, Every day, Daily Average",2695,1877,3868
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","201","Vila Curuçá","3/1/2020 - 3/31/2020, Every day, Daily Average",2582,1680,3967
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","202","Jardim Robru","3/1/2020 - 3/31/2020, Every day, Daily Average",2912,2075,4086
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","203","Lajeado","3/1/2020 - 3/31/2020, Every day, Daily Average",3049,2202,4220
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","204","Fábrica Bandeirantes","3/1/2020 - 3/31/2020, Every day, Daily Average",3189,2231,4557
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","205","Fazenda Itaim","3/1/2020 - 3/31/2020, Every day, Daily Average",3084,2090,4549
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","206","Itaim Paulista","3/1/2020 - 3/31/2020, Every day, Daily Average",2840,1880,4288
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","207","Jardim das Oliveiras","3/1/2020 - 3/31/2020, Every day, Daily Average",3235,1945,5377
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","208","Vila Califórnia","3/1/2020 - 3/31/2020, Every day, Daily Average",1300,857,1970
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","209","Vila Carrão","3/1/2020 - 3/31/2020, Every day, Daily Average",1542,1055,2253
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","210","Jardim Anália Franco","3/1/2020 - 3/31/2020, Every day, Daily Average",1588,1164,2165
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","211","Vila Formosa","3/1/2020 - 3/31/2020, Every day, Daily Average",1835,1182,2847
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","212","Barreira Grande","3/1/2020 - 3/31/2020, Every day, Daily Average",2193,1594,3016
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","213","Aricanduva","3/1/2020 - 3/31/2020, Every day, Daily Average",1817,1271,2596
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","214","Frei Mont'Alverne","3/1/2020 - 3/31/2020, Every day, Daily Average",1275,799,2034
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","215","Vila Matilde","3/1/2020 - 3/31/2020, Every day, Daily Average",1660,1081,2548
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","216","Cidade Patriarca","3/1/2020 - 3/31/2020, Every day, Daily Average",1764,1225,2539
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","217","Cidade A.E.Carvalho","3/1/2020 - 3/31/2020, Every day, Daily Average",2236,1584,3155
